userName,userImage,score,date,text
"Karthik Shenoy",https://play-lh.googleusercontent.com/a-/ACB-R5TbBuwG4wy6s2E8ZIXDeQ7MCAkjL8TXfC-IEs30CQ,5,2023-04-14T04:45:35.655Z,"Love it thanks make me and i am a youtuber karthikshenoyvlogs subsribe pls.."
"Florence Kamau",https://play-lh.googleusercontent.com/a/AGNmyxbK-_AqMic1fBO_TecovJDsmePrLyP4hzQCZTOq=mo,5,2023-04-14T03:29:16.779Z,"It's fun in like it... I even told my friends to join and play.... I get to do questions to know myself 😁😁"
"Sunita Rana",https://play-lh.googleusercontent.com/a/AGNmyxYU816VVyXGenp6lr9B3l1J8X_6tu88cuJe7TJr=mo,5,2023-04-14T01:43:34.118Z,"Very nice app download 👍👍"
"Vienca Juliana",https://play-lh.googleusercontent.com/a-/ACB-R5RmtjdimF8cOMG5PeCterIZ-d-MyeiIxtFtSR9e,5,2023-04-14T00:55:49.988Z,"Dis app help mi so well"
"Kathryn Yakovenko",https://play-lh.googleusercontent.com/a-/ACB-R5TqRKi3u39EXcIi7dJKfnamRL4_r4VWf2K0pLCiIQ,4,2023-04-13T20:59:39.971Z,"I like this game, there are lots of different test and weird ones but overall I think you would enjoy this game 🎮"
"OLUSEGUN OGUNTAYO",https://play-lh.googleusercontent.com/a-/ACB-R5QdlilQzRwGoupKl57fN-3h7QLM5OsZvlrW3vWt,5,2023-04-13T20:39:33.570Z,"Buetiful And lesson teaching"
"Super Mohamed Tube",https://play-lh.googleusercontent.com/a/AGNmyxbQlKNKaJRmzQX3vRnAA5aLuEN_FcDRhiiNjd3j=mo,5,2023-04-13T19:44:59.264Z,"This game is super fun"
"Mateo Ghosn",https://play-lh.googleusercontent.com/a-/ACB-R5SxKyTQGZH2wg-jD1UMxcjd0RfpcgghgLgs-hq2pQ,5,2023-04-13T18:06:19.922Z,"J'adore ce jeu qui est super divertissants .Il il y a trop de test a faire sur la famille ,les amis et la nouriture (mes tests préférée)vous pouvais aussi trouvé des tests sur vos amoureux ou sur la parresse que vous avez. Je m'amuse tellement avec tous ces tests et ces horoscopes. Je peux aussi écrire dans mon journal intime ,invités mes amies a joué avec moi et je peux aussi débloqué des stickers. Bonne chance à tous les joueurs qui ont décidé de joué à cet incroyable jeu . Trés gros bisous ."
"Krish Padmanabhan",https://play-lh.googleusercontent.com/a-/ACB-R5TClMRAT0DynBkisRhvll69vcwWyJTDJAF2h5SBoQ,5,2023-04-13T17:31:06.144Z,"Very cool app, enjoyable and fun!"
"Alina Memon",https://play-lh.googleusercontent.com/a/AGNmyxbKA5b0yQBdeSfnhsmC0WEqZ04ZkXMXEEsGrtqA=mo,5,2023-04-13T15:53:30.310Z,"☺️👌🏻😊"
"Nanthiny Nanthiny",https://play-lh.googleusercontent.com/a/AGNmyxanhr8zYbUALcpSNIo5zDZ-jiHebV6xExuv43oE=mo,5,2023-04-13T14:47:40.123Z,"So good app💗"
"Bose John-Otukpe",https://play-lh.googleusercontent.com/a-/ACB-R5TFOiKmPydYjXgVSrLgshxIftjOxQmii6SE3UQEeA,4,2023-04-13T14:32:26.206Z,"It is ok, wouldn't recommend if U love extremely perfect games"
"Aubrielle Short",https://play-lh.googleusercontent.com/a-/ACB-R5Siusr9sLfLboRN6lUc6QzNJcOfP2An5w5zioJewg,5,2023-04-13T14:17:16.884Z,"I love this app my friend showed me it and I fell in love u should download I love it. ❤️"
"Djouma",https://play-lh.googleusercontent.com/a/AGNmyxZ71AzA5Se7WF4KOEGBT21RF_GizXfSbPfNQ1SA=mo,5,2023-04-13T12:44:27.580Z,"Cool"
"Avril Theron",https://play-lh.googleusercontent.com/a/AGNmyxZqZrpNyAXl7TfJ7NZ8dBWPWpnIGcb38AwdAXeJ=mo,4,2023-04-13T12:08:10.267Z,"Its helping me"
"jhealxie lynn C. Soriano Jhealxie (JHEALXIE LYNN C. SORIANO)",https://play-lh.googleusercontent.com/a-/ACB-R5TTy_FfeyjKr1AJmHKk1dU7Th98etLiJCaw8j1VDQ,5,2023-04-13T11:30:51.645Z,"I loveeee it"
"Rutuja Deepak",https://play-lh.googleusercontent.com/a/AGNmyxbqbexf9FCmCtwNxhSrOZyNTpFkD6F5wt6MT_ns=mo,5,2023-04-13T10:23:55.803Z,"Very good app .........."
"iwasokun grace",https://play-lh.googleusercontent.com/a/AGNmyxbYibLEHcgPd_eN9oHXdQd2BM0zF2ylvQENj9hR=mo,5,2023-04-13T08:01:49.200Z,"It is the best"
"Tisa Dulmin",https://play-lh.googleusercontent.com/a-/ACB-R5S3eC0kjbaJYtkfFq5sgzItHxXb3WAqGW-4-FWSQQ,5,2023-04-13T05:33:22.281Z,"Its very good couse it has a diary in it so you dont have to buy one and it has more then just (the bff test) tests."
"Emma Pavey",https://play-lh.googleusercontent.com/a/AGNmyxaUTiZTSNBnds_FChqRiAbQvtgb3rsPJLywdMLZ=mo,5,2023-04-12T23:53:17.690Z,"It's amazing"
"Morris Mbito",https://play-lh.googleusercontent.com/a/AGNmyxac5xtqkb360A7tS7X_aDm3lanys0opUH3Ak_5S=mo,5,2023-04-12T19:09:14.470Z,"Love 💕💕 from Zim yes it's wierd no add I'm 95%with Giovanni please add boyfriend test"
"Kayla Round",https://play-lh.googleusercontent.com/a/AGNmyxYu-_VWqQ48zvTQUjYZCRVd6ndW_UhHMNO4UW-p=mo,5,2023-04-12T18:35:30.321Z,"okay so first..love this game! and when I was looking for games on the app store I saw this...AND I LIVED IT! as soon as a tapped on the instal button I was like..Hmmm but when I get in I was like..OOOMMGG!!!! YOU SHOULD GET IT!!!"
"Jasmine Hocan",https://play-lh.googleusercontent.com/a/AGNmyxZX50lwghTLn0a58UXvk2RTRMi2Z3qTjiTlJQ8U=mo,4,2023-04-12T15:24:23.291Z,"My name is alisha im very cute intelligent pretty attitude and bored girl according to this app some times i can realise this but not at alll my bestie forever is alina she is my best cutzin according to this app and my heart im super exited in painting and going to walk 😇 im kind too im not doing this for show off"
"BEST WITH NADUN",https://play-lh.googleusercontent.com/a-/ACB-R5QwveVm4-kDHV_-vL-kqBCHxvWvNWyg_ZW84inU,5,2023-04-12T15:08:14.234Z,"It Was enjoyble!"
"JABEENA TAJ",https://play-lh.googleusercontent.com/a/AGNmyxZk_xD4EnBI0v2jGArYWtJlWjhibbDzNJzD93d1=mo,5,2023-04-12T14:42:21.354Z,"Nice"
"ረዴት",https://play-lh.googleusercontent.com/a/AGNmyxYwLgoJVSnxYDOPi6e8C9BUNfaRynK5ebPpqY1Q=mo,1,2023-04-12T14:10:50.290Z,"It's a good app"
"Geramie Baguio",https://play-lh.googleusercontent.com/a/AGNmyxZ3BWJX-rjbky0PzRLvtJu7Iyge1dTy6Akk8KVD=mo,4,2023-04-12T13:06:35.280Z,"This game is so fun and nice"
"Janette Baylon",https://play-lh.googleusercontent.com/a-/ACB-R5Q6z7bscVfsB9O9NMfkDrWubiOcKmk-lQFiKTBy,4,2023-04-12T12:29:22.867Z,"I like it!❤️"
"thatoyaone matlhabe",https://play-lh.googleusercontent.com/a/AGNmyxb5x0f-tRy3tzL6zNhG_hZ7vQGByqJbMiBeARDH=mo,5,2023-04-12T11:57:02.195Z,"Nice game me and my friend loved it"
"Mern Stev",https://play-lh.googleusercontent.com/a/AGNmyxYCVMtduz8cewj6NB9XPJbXbxe2DldhtYDB8RFT=mo,5,2023-04-12T11:34:33.148Z,"It's real"
"lijomonc1",https://play-lh.googleusercontent.com/a-/ACB-R5TfpAIzK5jOCw6_wB9aCj_2o9tq-M_-D2Yn2iIw,5,2023-04-12T11:10:51.370Z,"I love how you have a diary to write things in and do fun quizzes that I can share with freinds there is raly any ads but they should take it out since it is quite annoying"
"B Blanco",https://play-lh.googleusercontent.com/a/AGNmyxZRR1s9imFPLoTauCRUE3LZXAs4cHUggnTmxYd8=mo,4,2023-04-12T10:58:35.508Z,"It ok"
"Gigi Graham",https://play-lh.googleusercontent.com/a/AGNmyxYaQejeQE2q-JNL4WogTQfyCu6UEMV9_yR2F7Mh=mo,5,2023-04-12T10:53:39.642Z,"It was really cool"
"Rupa Akhter",https://play-lh.googleusercontent.com/a/AGNmyxbU56-M_onIQ5W-eAClD2J9GTgo3V_E4kPORZZX=mo,5,2023-04-12T10:53:31.578Z,"Good and nice app"
"Shweta Agrawal",https://play-lh.googleusercontent.com/a/AGNmyxZ1TlZ92wv2JPapD2fZ9j8ywV52ZtHqMWRnpFjq=mo,5,2023-04-12T10:08:33.483Z,"This is too good . Amazing"
"Hamsini",https://play-lh.googleusercontent.com/a/AGNmyxb_PR7xnG0PnjFW2z4sM1OMfVrF-v-gugQVGnBJ9UY=mo,5,2023-04-12T09:37:47.343Z,"This app is quite great....I recommend it to all ages"
"Elesenarla Aqritsial",https://play-lh.googleusercontent.com/a-/ACB-R5Q40wxM8vwRcD0z3zohAyy90WjCPYy6bAvMIEHB,5,2023-04-12T08:54:57.380Z,"👍"
"Phoebe Doolan",https://play-lh.googleusercontent.com/a-/ACB-R5Q1knEbxhnhX8sRqndnUct6831jfvQOL-6xAq8,5,2023-04-12T07:02:09.366Z,"Accurate,self-stemming"
"Maher Nilesh Patel SSA021",https://play-lh.googleusercontent.com/a/AGNmyxYSgH5MglKhiJ-lS2bh9-RgKDWw4sVcXYUQNg4c=mo,2,2023-04-12T06:44:05.773Z,"Nice"
"Destinee dorame",https://play-lh.googleusercontent.com/a/AGNmyxaJhX2MFpaNbs1HvyJWo5BIBIIJPxmXWPMLWfwB=mo,5,2023-04-12T04:44:12.504Z,"I think this game is the best when you want answers every time I get on my phone I use this 🎮 game"
"Anabiya Abdul raheem",https://play-lh.googleusercontent.com/a/AGNmyxazF7YAM7rEiUNMn-KOP-Ut1uH1pi9qiLVuP84J=mo,1,2023-04-12T00:00:11.521Z,"Waste of time"
"Erica Douglash",https://play-lh.googleusercontent.com/a/AGNmyxYhsXLvGoUecIi1vISX-WgjxXid8aRBV6Vuqn1f=mo,5,2023-04-11T23:33:28.746Z,"I love this game 🎮 it gives you exciting quizzes and very interesting I will recommend 👌 and you can play it without wifi it's amazing 👏"
"Jeremy Bukowiec",https://play-lh.googleusercontent.com/a/AGNmyxZ87v6gEHMtY15Al83Su9AjwXjE5HoyvQ7IxJb1=mo,5,2023-04-11T23:18:59.205Z,"It is a fun game to learn about your self fun to play not a bunch of ads barely any ads love it fun to share with your friends 😊 😀 😄 ☺️ ❤️ 💕 😊 😀 😄 ☺️ ❤️ 💕 😊 😀 😄 ☺️ ❤️ 💕 😊 😀 😄 ☺️ ❤️ 💕 😊 only good thought loved it 💖 😊 😘"
"Justin Kilpatrick",https://play-lh.googleusercontent.com/a/AGNmyxYHDmDAwjfdhCxv1hr_VhaXSqejhVCLi4iJc9tK=mo,3,2023-04-11T21:45:58.292Z,"Could use more quizzes."
"Rosie Garcia",https://play-lh.googleusercontent.com/a/AGNmyxaEdC9S4f-sbDB-cXMbkRtJBgC0eQdv4FcZSlkD=mo,5,2023-04-11T21:27:24.811Z,"The me my best friend are very close best and me and my crush become boyfriend and girlfriend and that I am not disgusting I love this app so much ❤️"
"Shova Das",https://play-lh.googleusercontent.com/a-/ACB-R5QXOtUI8yAPTxbRwbn4RCYZuFv8bxC5v_WR2USw,5,2023-04-11T17:54:57.287Z,"I just love this game no ads . And so many tests are there . I can't wait until tomorrow to play this game. This deserves a 5star rating."
"Nandani Singh",https://play-lh.googleusercontent.com/a/AGNmyxZx54pbZyH-gg8Uz3xND2ypGrPxWARPU3QYtEFd=mo,5,2023-04-11T16:27:26.204Z,"It is a lovely game"
"Amrita Baral",https://play-lh.googleusercontent.com/a/AGNmyxbkgWdJqo1Fyyq5ZQaNnL8fgX7qI3oVn35Czic-=mo,5,2023-04-11T16:09:34.114Z,"JUST LOVE IT!!!!!!!!!!!!!!!!!!!!!!!!!!!! ❤❤"
"Higio Nasum",https://play-lh.googleusercontent.com/a/AGNmyxb8KX67FX_-RyP3l92tz0ObQjc5yGe0tpZqzQJJ=mo,5,2023-04-11T15:53:50.545Z,"I felt very good after using this app....this app can refresh his/her mind...i dont know if its true but....atleast u can be happy after using the app...."
"Yogini Dharne",https://play-lh.googleusercontent.com/a/AGNmyxbfm8Y45ut8muaT3gJlsja_HVxOekjydijqvseKZA=mo,3,2023-04-11T15:53:29.681Z,"This aap is great and I like this aap"
"Abid Mehmood",https://play-lh.googleusercontent.com/a/AGNmyxY8lGLvCbzErIcm5R6jdWupFdS3FMtcXZkk6LcR=mo,5,2023-04-11T14:50:40.803Z,"This app is great thank you"
"Mariah J",https://play-lh.googleusercontent.com/a/AGNmyxY5I0h6R-gZntG04mQtlT15-o4WpqpoOFuQi7dL=mo,5,2023-04-11T14:47:47.975Z,"I love this game its sooooo fun and shout out too the people who made the game I love it so much perfect."
"Kareen Haddad",https://play-lh.googleusercontent.com/a-/ACB-R5Tqwi9vx-a8STH_UQSLvd0Jdsf21cLOQV0yCzHPDQ,4,2023-04-11T14:15:48.398Z,"Nice game but I gifted it 4 stars because wenn i open it always it ask, do you like this game, yes no if i press yes it ask please rate us on play store"
"Ndenu Ebi-Bulo",https://play-lh.googleusercontent.com/a/AGNmyxbtZmpsEoNTXgw9LEzDz5lOXXXEvrQOhyMAQB26=mo,5,2023-04-11T13:55:37.866Z,"Love this app💖💖💖💖 Solo amazing👍👍👍"
"salimah mohamad",https://play-lh.googleusercontent.com/a-/ACB-R5RVlrwz5uvcceYxjkDgD1oOoG_ytyGuSxoCwnVq,5,2023-04-11T13:53:38.676Z,":⁠-⁠)"
"Taylor S",https://play-lh.googleusercontent.com/a/AGNmyxYNnqrDkI14ZPAnPb2VzOb-qvEraxvUKWujX8q-=mo,5,2023-04-11T12:33:27.975Z,"AMAZING"
"Cadence Hynes",https://play-lh.googleusercontent.com/a/AGNmyxY_dP7UoUOfh3EAErf-XEYa6t2U1z8WuGQjcbAq=mo,4,2023-04-11T11:31:55.153Z,"It tells me what are my friends like fake real ect."
"Asal Boromand",https://play-lh.googleusercontent.com/a/AGNmyxZ4zyIDWGmygmhP4PIJOqsrsc2BIMN1AXqIbErn=mo,5,2023-04-11T11:13:53.927Z,"فیلترینگ ایران بده وگرنه واتساپ عالی"
"Guduru Jayashree",https://play-lh.googleusercontent.com/a/AGNmyxZhQrhRnEomi6bsbbiLzxxvelHeUNUJkep_x9f9=mo,5,2023-04-11T10:46:27.480Z,"Good and there are no problems with me and there is nothing to worry about it was just thinking about you doing it for yourself it's a good time and to tell about yourself to spend time⌚ it is a great day and there is nothing wrong❌ with me and there is a great time to do with this app i appreciate you 🙏👍👍😉🤎🤍💜💙💚🖤💛🧡❤💞💕💓💗👌👌👌👌👌 but some times I was like this 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ but it's a great app yo enjoy your day and there is nothing but it's still have anything wrong god?"
"David zamolo2711",https://play-lh.googleusercontent.com/a-/ACB-R5Rq0Cn82Fj_VWZA5jpRW14igav61hXJZzRpHcwMog,5,2023-04-11T10:09:20.246Z,"It's a 10 out of 10. You should download"
"Sana mohd Ali Khan",https://play-lh.googleusercontent.com/a/AGNmyxbwDcisXFw-1hroVVr_jq6RobAcXcZJVKGd6g75=mo,4,2023-04-11T09:42:22.576Z,"Cool app💜"
"Arisha Nusaiba",https://play-lh.googleusercontent.com/a/AGNmyxYtDZCL6llyKMaZ202Bti7PqkNXdToHg-eLrSFd=mo,5,2023-04-11T09:33:41.896Z,"This app is cool"
"Anisha Ahlawat",https://play-lh.googleusercontent.com/a/AGNmyxY-QMi21PLwkEKEKKqE4RDH_0r3XSLeYBNZ-jrZ=mo,5,2023-04-11T09:19:36.528Z,"This is very best app"
"Lovely Bashar",https://play-lh.googleusercontent.com/a/AGNmyxaSQ-7OSWmdARcuZ2dv4vy6E1FTmMh6guhW4DcW=mo,5,2023-04-11T07:27:36.579Z,"this app is the Best app for me i Love it"
"Jayakumary Amma",https://play-lh.googleusercontent.com/a/AGNmyxYsKblstD42koA-Ptc6D-xvKEvQbSjwgvIAzkBE=mo,5,2023-04-11T06:20:35.134Z,"Good app"
"MANIKANDAN Udaiyar",https://play-lh.googleusercontent.com/a/AGNmyxZLXxwxgbARmXFpdxKqeLuAhrR7snv4dfNueoBF=mo,4,2023-04-11T03:14:13.989Z,"It's a nice 👌 and awesome game It's interesting"
"Mckienzie Stickle",https://play-lh.googleusercontent.com/a/AGNmyxZEcNqzo2GHloD4xDjARL-7zn3Kc_RXj-KjZLK7=mo,5,2023-04-11T03:09:48.311Z,"It's amazing it's nice and it's fun"
"Mercy Chisela",https://play-lh.googleusercontent.com/a/AGNmyxZEbLvwBwtk6w3W_nj4rkEQ2oBfC5DbRNAeFZNv=mo,5,2023-04-11T01:58:29.488Z,"I love the app"
"Hussnain Zaidi",https://play-lh.googleusercontent.com/a/AGNmyxZmEJr_4PLMhytmn11EG1TVnXqk0QhBrIN3RB_b=mo,3,2023-04-11T01:46:20.952Z,"This app is good"
"Charlene Butler",https://play-lh.googleusercontent.com/a/AGNmyxZWcI449LLSzrsTUe_OpZU1vVFNZjwiU_8eA4PbdsE=mo,1,2023-04-10T23:39:18.856Z,"Rated e bit won't let you in unless you are seventeen"
"Theresa Begley",https://play-lh.googleusercontent.com/a/AGNmyxarf1N-ulkkP9V4tuDwJ6BkqQXK4SPBMDbbSi7n=mo,4,2023-04-10T21:37:12.882Z,"I love it!!! It was exactly what I wanted and exactly what was advertised it has very different kinds of quizzes and is rlly fun I definitely recommend it"
"Ryan John",https://play-lh.googleusercontent.com/a/AGNmyxbeCuNmDxfnZt_OelR0sQzlRIY8lalBWoYNe_ER=mo,4,2023-04-10T20:17:30.810Z,"I enjoy it very much"
"Mirdu Mirdula",https://play-lh.googleusercontent.com/a/AGNmyxb65PGeSJB8XbQiJSnO_DlvDHnCGjYD_w0-dtbo=mo,3,2023-04-10T19:58:18.194Z,"Nice"
