url,appId,summary,developer,developerId,icon,score,scoreText,priceText,free
"https://play.google.com/store/apps/details?id=com.playsidestudios.animal","com.playsidestudios.animal","Collect from cute to vicious animals in this auto-battle sim game!<br><br>  Build your animal army with lions, dogs, bears, and more animals and send them into battle to win gold and glory in Animal Warfare.<br><br>- EVERY ANIMAL IS SPECIAL - <br>Each animal has a unique perk and ability, which means they all fight differently and no battle is the same!<br>Build and upgrade your animals to unlock their special skills, increase their strength and health, and win challenging fights.<br><br>- STRATEGISE YOUR ATTACK -<br> Mix melee and ranged animals, design your army’s formation and plan your attack. <br>Get coins by winning the battles and collect more animals to keep winning your next fights! <br>Don’t forget to strengthen your army to win the Boss Battles and Challenge Mode.<br><br>- BE THE LEADER OF THE PACK -<br> Face off other users in the Arena and show everyone who the strongest one is!<br>Obtain bonuses by accumulating your number of wins in the Arena, and beat everyone to be at the top of the leaderboard.<br><br>Other interesting features: <br>- Deep and addictive progression systems<br>- A crisp and minimalistic art style<br>- An expansive campaign with 100s of unique levels<br><br>VIP membership subscription:<br>You can subscribe to our Animal Kingdom VIP membership, which gives you 4500 coins and 100 gems daily, unlocks all Animal Perks no matter what level they are, and grants 50% faster Chest unlock speeds.<br><br>The VIP membership has three duration options: Per Week, Per Month, and Per Year.<br>1）Weekly Subscription costs $6.99 and starts after 3 days of the free trial.<br>2）Monthly Subscription costs $9.99 and starts after 3 days of the free trial.<br>3）Yearly Subscription costs $99.99 and starts after 3 days of the free trial.<br>Payment will be charged to Play Store Account at confirmation of purchase.<br>You will be able to use premium features for the duration of the subscription.<br>Subscription automatically renews at the same price unless auto-renewal is turned off at least 24-hours before the end of the current period.<br>Subscriptions can be managed by the user and after purchase, auto-renewal may be turned off in the user&#39;s Play Store Account Settings.<br>No cancellation of the current subscription period is allowed.<br>You may cancel a subscription during its free trial period via the subscription setting through your Play Store account. This must be done 24 hours before the end of the trial period to avoid being charged. Please visit https://support.google.com/googleplay/topic/1689236?hl=en&amp;ref_topic=3364264 for more information.<br><br>Our privacy policy and terms of use:<br>www.playsidestudios.com/privacy-policy","PlaySide Studios",N/A,"https://play-lh.googleusercontent.com/oGH7u-skEgGTikTpLtK_UZSzV4VXVDbzpiU_zrR--kLuBztfF1S93ufoy8n14r6edVw",4.510284,"4.5",N/A,true
"https://play.google.com/store/apps/details?id=com.playsidestudios.ageofwarfare","com.playsidestudios.ageofwarfare","Recruit fighters and warriors from many different ages throughout history to your army including Cavemen, Pirates, Cowboys, Samurais, Spartans, Helicopters, Gangsters, and many, many more before sending them into battle. Each and every battle gives you the chance to win gold and historic glory! <br><br>In Battle Simulator : Warfare, each unit fights differently and comes with their own unique abilities - no battle is ever the same as you upgrade, customise, and build your army to take on challenging fights across the ages! <br><br>- Deep and addictive progression systems<br>- A crisp and minimalistic art style<br>- A Battle Simulator unlike any other!<br>- Fully animated characters<br>- An expansive campaign with thousands of unique levels<br>- A massive roster of Fighters to recruit - each with different perks<br>- Challenge Mode where you can earn bonus rewards every day<br><br>VIP Membership Subscription:<br>You can subscribe to our Battle Simulator : Warfare VIP membership, which gives you Gold and Gems daily, unlocks the perks on all Fighters no matter what level they are, and grants 50% faster Crate unlock speeds.<br><br>The VIP membership has three duration options: Per Week, Per Month and Per Year.<br>1）Weekly Subscription costs $6.99.<br>2）Monthly Subscription costs $9.99.<br>3）Yearly Subscription costs $99.99.<br><br>Payment will be charged to your Google Play Account at confirmation of purchase.<br>You will be able to use premium features for the duration of the subscription.<br>Subscription automatically renews at the same price unless auto-renewal is turned off at least 24-hours before the end of the current period.<br>Subscriptions can be managed by the user and after purchase, auto-renewal may be turned off in the user&#39;s Google Play account settings.<br>No cancellation of the current subscription period is allowed.<br>You may cancel a subscription during its free trial period via the subscription setting through your Google Play account. This must be done 24 hours before the end of the trial period to avoid being charged. Please visit https://support.google.com/googleplay/answer/2479637?hl=en for more information.<br><br>Our privacy policy and terms of use:<br>www.playsidestudios.com/privacy-policy","PlaySide Studios",N/A,"https://play-lh.googleusercontent.com/gAPZcfA5D3J69NjOjFP-w5bKprhYg_uayTuSnEJtreaJErtHQ6zJoMy3CiiA7NH7XQ",4.396694,"4.4",N/A,true
"https://play.google.com/store/apps/details?id=com.addictive.strategy.army","com.addictive.strategy.army","<b>A funny game with huge amount of spectacular battles.</b> You will be the commander who leads legions of tiny armies. Accept the challenges of various levels and don’t forget to get extra rewards from bounty tasks! It’s your army, you‘re in charge.<br><br>* <b>Exciting Battles</b> The battle is more like a real dance of war. Hope you can become a glorious commander and have a lot of fun.<br><br>* <b>Extra Bounty Tasks</b> Those cool bounty tasks will be unlocked once you reach level 14. You can get precious gems by finishing those tasks. But be aware that some of them are really tricky.<br><br>* <b>Regular Updates</b> We are a young team, but we always strive to improve your game experience and make the game incredible time-killer.<br><br>We are really happy to receive any feedback from you. If you have problem or questions about the game you can find answer in our FAQ. You can find our FAQ in the help section of the in-game settings or by this link: http://www.armyneedyou.com/support/faq<br><br><b> Follow us: <br>1) Discord -  https://discord.com/invite/artofwar  <br>2) Facebook - https://www.facebook.com/GameAoW/<br>3) Twitter - https://twitter.com/GameAoW <br>4) Instagram - https://www.instagram.com/artofwar_legions/</b><br><br>Wish you a good time, Commander!","Fastone Games HK",N/A,"https://play-lh.googleusercontent.com/MQwFF3iMbezpwhOyoKinhC4R3HdI5rgfxbP-8CZvgG0_97pKQt6QgLGd4ri0ej_UrSc",4.0970683,"4.1",N/A,true
"https://play.google.com/store/apps/details?id=com.Xadetechnologies.com.GodzillaKongAlliances","com.Xadetechnologies.com.GodzillaKongAlliances","All Kaiju were living in peace together in Albionia. One day dark forces arose and invaded the world. To save the world of Albionia from the shadow wars, as a Kaiju warrior battle epic monsters, fight evil enemies to defeat the immortals of Darkness and bring back the light to Albionia. Will you be that forceful Kaiju warrior?<br><br><br>Current Features:<br><br>- Lots of fun.<br><br>- Stunning graphics.<br><br>- Cool UI system.<br><br>-Incredible Music","Xadetechnologies",N/A,"https://play-lh.googleusercontent.com/5cw0DPaQQeUWWjiv8VaIilLsUrmE0pYLtlAfim6sTTGkSB5w9iXFLMOCJpD4HXbo_Tg",3.67,"3.7",N/A,true
"https://play.google.com/store/apps/details?id=com.udream.PaperHero","com.udream.PaperHero","<b>Paper Heroes™️ Open Beta</b><br><br>Paper Heroes is a casual RPG strategy game that features an unlikely cast of superheroes looking to gain superiority in the world. Head into battle and annihilate your enemies to collect your well-deserved bounty!<br><br><b>⚔️ <font color=""darkblue"">HERO SYNERGY</font></b><br>Choose your heroes and expand your repertoire. Grow your formation and bring up to 5 Heroes into each battle to smash through over various stages of enemies!<br><br><b>⚔️ <font color=""darkblue"">LEVEL UP YOUR ARMY</font></b><br>Recruit and upgrade your army in the Hideout. Assign your troops to the Gym and ascend your heroes in the Ascension Lab.<br><br><b>⚔️ <font color=""darkblue"">EPIC 1V1 BATTLES</font></b><br>Test your mettle in the Survival Mode against hordes of enemies to collect your rewards. Assemble powerful heroes to eliminate your foes in the Arena and the Gauntlet!<br><br><b>⚔️ <font color=""darkblue"">A UNIQUE CAST OF HEROES</font></b><br>Recruit  <font color=""red""><b>Cynin Sato</b></font>,  <font color=""blue""><b>Striker Scarlet</b></font>, <font color=""orange""><b>Gravity Enigma</b></font> and other amazing heroes to dominate the world in Paper Heroes!<br><br>◆ <b>Official Facebook</b> ◆ <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FPaperHeroes.global%2F&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw0Vf7jsOhhc9IbqD4HXrx9P"">https://www.facebook.com/PaperHeroes.global</a><br><br>◆ <b>Official Discord</b> ◆ <a href=""https://www.google.com/url?q=https%3A%2F%2Fdiscord.gg%2FBDhF7Ehypp&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw05GZ5AQD0mdrJgHCZuRuw_"">https://discord.gg/BDhF7Ehypp</a><br><br>For additional queries, please e-mail us at <a href=""mailto:paperheroes@udreamgame.com"">paperheroes@udreamgame.com</a>","UDream Entertainment",N/A,"https://play-lh.googleusercontent.com/rJJhajcbXNqSoI0xlXFDlqpVotCCoqHrYnt4zupXBb85eASRkOrmxwc8h2NGHCwvrA",4.436893,"4.4",N/A,true
"https://play.google.com/store/apps/details?id=com.mandrillvr.AncientBattleioV3","com.mandrillvr.AncientBattleioV3","You are a king in this battle for survival. Other nation’s kings want the same land but there can only be one true victor! Do you have what it takes to lead the troops into battle and become victorious? <br><br>In this unique io battle simulation, you must run around to collect troops. The more units you amass the stronger you become. Once you are big enough it is time to conquer the enemies! Knights and archers love a strong leader so once you defeat an opponent their troops become yours. Your size and strength have no limits. You will obtain flawless victory! <br><br>Every unit contains different attacks. Spells can turn the tides of battles. Battles will reward you with riches to upgrade your troops and spells. Collect as many as you can and you will become unstoppable.<br><br>Each battle is a unique pvp battle experience. Survive and conquer. Do whatever it takes to master the arena in this long standing Ancient Battle!<br><br>There can only be one winner. Will it be you?  <br><br><br> <br> Game Features:<br>1.       Simple but addicting mechanics<br>Run around to gather your army. Once you are big enough, conquer your opponents. It’s that easy.<br><br>2.       Beautiful Graphics<br>From the troops, to the land, to the houses - this is a beautiful pvp experience. Feel yourself get transported to this mystical land with its beauty.<br><br>3.       Upgrade, upgrade, upgrade<br>Do you love to collect things, or love feeling the satisfaction of watching your power grow? The card collecting gives Ancient Battle a unique take on the io battle system. There is no limit to how strong you can become.<br><br>4.       Leaderboards <br>See how you are doing against players across the world? Do you have what it takes to reach the top?<br><br>5.     New content<br>Battlepasses and new content will keep things fresh. Never go bored once you start playing.<br><br>Visit https://lionstudios.cc/contact-us/ if have any feedback, need help on beating a level or have any awesome ideas you would like to see in the game!<br><br>From the Studio that brought you Mr. Bullet, Happy Glass, Ink Inc, and Love Balls!<br><br>Follow us to get news and updates on our other Award Winning titles;<br>https://lionstudios.cc/<br>Facebook.com/LionStudios.cc<br>Instagram.com/LionStudioscc<br>Twitter.com/LionStudiosCC<br>Youtube.com/c/LionStudiosCC","Lion Studios",N/A,"https://play-lh.googleusercontent.com/sR6rSX-JPNBoubB48WMnllWcoOYBzyU_-6v7t7Q24cpcAhoDikfAVvktPbRhIyW-G9c",4.3338027,"4.3",N/A,true
"https://play.google.com/store/apps/details?id=com.maxgames.aow2","com.maxgames.aow2","Battle your way through the ages in this insanely addicting action/strategy game. One of the most popular flash games from the web brought to life for the best possible mobile experience!<br><br>WAR ACROSS THE AGES!<br>Train a massive army from cavemen riding dinosaurs to World War tanks! All the way to hugely devastating robot warriors from the future age! There are so many different units to train across 7 completely unique ages of war. With 29 unit types at your disposal such as the Assault Spartan, Anubis Warrior, Mages, Knights, Rifleman, Cannons, Grenade Soldiers, Cyborgs and so many more! If you think the best offense is a strong defense try stacking up rows of turrets that mow down the enemy! Yes we still have the famous Chicken Turret which is a must build!<br><br>FUN FOR ALL!<br>Finally a strategy game that every gamer type will enjoy with 4 difficulty modes and tons of achievements and challenges. Cast destructive global spells such as the fiery meteors, lightning storm, or call world war bomber planes to clear the field. We’ve packed so much fun into one easy to play mobile game you will come back again and again trying new ways to conquer.<br><br>GENERALS MODE<br>Play against 10 unique generals, each with their own individual strategies and tactics!<br>Try to best Brom &#39;The Basher&#39; with his giant club, or Hades in his Underworld domain!","Max Games Studios",N/A,"https://play-lh.googleusercontent.com/cgfjh-wXhG7rh0mCejpGwYmBw4PoDnBRQ2P6ARrHpGG0dTeP109HovgHyC_6Cqu4WA",4.2722645,"4.3",N/A,true
"https://play.google.com/store/apps/details?id=com.traplight.battleslides","com.traplight.battleslides","Massive 100v100 Unit Battles - Build an army and watch it fight idle-style - Plenty of units and skins. Endless fun! Battle Legion puts you in shoes of an aspiring commander, and as you rank up through unforgettable victories, so does your legion.<br><br>Design and tweak your army from dozens of unique units, ranging from classic sword and shield fighters to arcane wizardry, dark age machinery, and mythical creatures. Equip your troops with Powers that match your masterplan, sit back, and watch how they fight pitted enemy legions to the bitter end.<br><br>- BITESIZED COMBAT: Battles last 20 seconds or less.<br>- LAID BACK GAMING: You plan the army layout, and they do the fighting.<br>- AUTO-PLAY: Your legion keeps fighting against enemy monsters and creatures as you go about your daily business.<br>- COSMETICS: Choose what your warriors, battlefield, and banner looks like as you fight.<br>- PLAYER BATTLES: Face other players&#39; warriors in the battlefield and learn from their strategies.<br>- POWER UP: Boost your units with dynamic seasonal Powers.<br>- REFRESHING SEASONS: New content introduced in bi-weekly Seasons, with fourth Season marking the dawn of a new Era of legends in the battlefield!<br><br><br>Take complete control over your war royale brawl clan army and tweak your epic raid strategy to suit your combat playstyle and the fight challenges at hand. Whether you prefer to focus on ranged raid attacks, heavy artillery, or up-close war and royale clash combat, you&#39;ll have a wide range of strategy options to choose from in each individual clash to hack and slash and brawl against epic enemy warriors, monsters and creatures that will be the stuff of legends and many a winning strategy in the battlefield!<br><br>Jump right into the battle royale of war brawl action against epic monsters and creatures and start building your fight clan army of legends right away with easy to learn clash raid combat mechanics! And with regular updates and new content being added all the time, there&#39;s always something new to discover in the brawl war world of Battle Legion&#39;s battlefields.<br><br>If you&#39;re looking for an army building game with tons of awesome characters and strategy legends to recruit, epic war battles against huge monsters and creatures, and immersive clash gameplay, you&#39;ve found it! With an exciting visual style, responsive combat controls, customizable strategy crafting and engaging raid royale brawl gameplay, Battle Legion is sure to provide hours of entertainment for clan warriors of all levels who want to royale raid, clash, hack and slash at epic enemies, monsters and creatures worthy of legends!<br><br>Battle Legion has an active and EPIC Discord clan of over 10K warriors where players discuss winning strategies, tips and development of the game — with devs frequently participating in the chat. Weekly streams and community events hosted on Youtube! Join the clan!<br><br><br>-------------<br><br>Discord: https://discord.gg/zWBtrvWSaz<br>Youtube: https://www.youtube.com/c/BattleLegion<br>Privacy Policy: https://godspeedgames.com/privacy-policy/<br>Terms of Service: https://godspeedgames.com/terms-and-conditions/","GODSPEED GAMES",N/A,"https://play-lh.googleusercontent.com/xCeY3EnY8nRkMeSZU7wPHbIUgG8BIXbSDoSCdGz0CYk6eTCi0RBZhZQXFyAdfm-Eqw",4.515435,"4.5",N/A,true
"https://play.google.com/store/apps/details?id=com.spartonix.knightania","com.spartonix.knightania","Build, upgrade and defend your very own medieval castle! Use strategy and command your army of holy knights to attack your enemies (or friends) and battle your way to glory in this new game of Paladins and Knights!<br><br>PaladinZ is simple and easy to play, this game is a combination of strategy, magic, knights, and some funny jokes. It requires you plan how to protect your castle (don’t just build and upgrade everything you can in a random order) and plan your attacks carefully (just sending every knight you have won’t cut it) in order to win every battle and make your Lord  - THE Lord of the Land and all paladins.<br><br><br><b>Game Features:</b><br>✔ Build and upgrade your very own medieval castle and Paladins!<br>✔ Place your defenses strategically and defend against other players’ attacks<br>✔ Watch out and protect your lands from the Poachers<br>✔ Train your army of funny characters - Spearmen, Archers, Witches, Griffons and more<br>✔ Upgrade and evolve your army into an unbeatable force <br>✔ Battle players worldwide and take their Gold, Food, and Trophies<br>✔ Challenge your friends to see who has the best army and who is the better Lord<br>✔ Discover your favorite attack and defense forces from countless combinations of units<br>✔ Watch replays of every battle - Watch your holy army in battle to improve your strategy<br>✔ See how you compare to other players worldwide in Google Achievements and Ranking<br>✔ Knights &amp; castles themed graphics and sound with adorable, funny characters<br>✔ Free action charged strategy game - You have to have a strategy in your attacks!<br>✔ Play as either a male or a female and command your army of holy knights to victory!<br><br><br><b>Join our Paladins Community and get updates, participate in competitions or just watch some funny videos of our holy knights:</b><br><br>Like us:   https://www.facebook.com/PaladinZGame/<br><br><br>Terms of Service: http://www.spartonix.com/#/terms<br>Privacy Policy: http://www.spartonix.com/#/privacy","Spartonix",N/A,"https://play-lh.googleusercontent.com/qXpnqcau9kmPOzwbUxggI0uVbdcYbTk8K7dKb8iZvpIPyUZM2RKf6rgOYqiZiL32-nQ",4.604651,"4.6",N/A,true
"https://play.google.com/store/apps/details?id=com.hts.ams","com.hts.ams","A brand-new version of Army Men Strike is now available: deploy defensive structures, protect your home base from enemy invasions, and experience the thrill of tower defending in the newly added Tower Defense game mode!<br><br>Play like a kid, fight like a man in a war without limits! Based on the toy army of your childhood, you must defend your flag against the enemy and attack using a powerful combination of tactics to win the miniature war between your green army and the evil toys! Lead an army of green soldiers, remote-control planes, robots, and many other toys in various epic battles! Defend yourself against the Tan Army invasion and put your strategy to the test. Using your best survival tactics is the only chance to win.<br> <br> Toy Tower Defense<br> • Multiple challenge modes.<br> • Challenging Boss fights.<br> • Train and upgrade different types of defensive structures.<br> • Defend against countless evil toys invasion and protect your home base at all costs.<br> <br> Build Your Own Army of Toy Soldiers <br> • Recruit officers, train soldiers, incorporate combat tactics, finding the strategy that works the most efficiently while competing against other players.<br> • Upgrade armor, weapons, rifles, and machine guns and promote your green soldiers including infantry, tanks, artillery units, air force units, and many more army troops.<br> <br> Take Your Miniature Military Forces to Fight<br> • Gather resources to upgrade squad soldiers and develop your command center.<br> • Create your tower defense with fortifications to keep war toy invaders hopeless at bay and increase your odds of survival. <br> <br> Army Tactics Adventure<br> • Choose your military targets on every battlefield and plan your soldier hero conquest. <br> • Put your commanding skills and strategy to the test against other players on the battlefield: this is not a toy war robot game, so use your best tactics.<br> <br> Establishing Alliance<br> • Create or join a Corps and establish battlefield friendship with your brothers in arms. <br> • Compete or cooperate with other alliances for the defense of your territory. Diplomacy or war, what do you choose, commander?<br> <br>Your war toys are waiting for you to strike in this challenge.<br>It&#39;s time to return to the battleground. Enjoy a toy game with worldwide players.<br><br>PLEASE NOTE. Army Men Strike is free to download and play. However, some game items can also be purchased for real money. If you don&#39;t want to use this feature, please disable in-app purchases in your mobile settings.<br><br>Under our Terms of Service and Privacy Policy, you must be at least 17 years to play or download Army Men Strike.<br>Terms of Service:https://privacy.volcano-force.com/html/tos/en.html<br>Official Facebook Page: https://www.facebook.com/ArmyMenStrike/","Volcano Force",N/A,"https://play-lh.googleusercontent.com/Xc_5tEExW1VuGlEJKwgIhKlKXtlQtFivTJNjBWEBNeN_bFzVM-dLqdzNDuUDeVOB3cW_",4.107586,"4.1",N/A,true
