userName,userImage,score,date,text
"ARGHO MEHINDE",https://play-lh.googleusercontent.com/a-/ACB-R5Q94ovDb642oBTcT3FRH7dc-ch2xi_4-yuSiwbmcQ,1,2023-04-13T18:12:35.799Z,"arghodeepdutta"
"Louie Bryan San Juan",https://play-lh.googleusercontent.com/a-/ACB-R5QDb9W7q6jJSVUu17jVft1wbtry1cXznUy1zvTcqg,5,2023-04-13T12:49:48.307Z,"ok"
"Eliska Chadwick",https://play-lh.googleusercontent.com/a/AGNmyxb1OsKHBlonVe7Gyfs3LT5z2pOJMjEC5yS6EFFF=mo,5,2023-04-12T12:26:48.849Z,"Love this game so much!"
"Emraan Khan",https://play-lh.googleusercontent.com/a/AGNmyxb7uu71U3R44xSVAE7DNFaBL8EX7DfFqAcf36OZ=mo,1,2023-04-11T14:44:01.730Z,"very very good game"
"Jennifer Marfil",https://play-lh.googleusercontent.com/a/AGNmyxZE8AFIFoAwqD3OnWVUg6Jm7sRzb8bcdgWuC7_F=mo,4,2023-04-11T09:19:02.395Z,"jennifar Marfil"
"Luke Hewitt",https://play-lh.googleusercontent.com/a-/ACB-R5RJFkfBaeQ3Tj8Q3lTiXjd3EU6B7eF4VbStxdPnZw,1,2023-04-09T10:04:12.265Z,"Don't know"
"Abheet Sharma",https://play-lh.googleusercontent.com/a-/ACB-R5S5GwajmzAzQP_9iTkJF_UUUD3SfkTRQjvCFyq_2w,1,2023-04-08T11:44:34.502Z,"Can't even install it💀💀💀"
"nilds fabian",https://play-lh.googleusercontent.com/a/AGNmyxZHp3fk7vowkauFyA31Ey8fmwWdVt5iZ74oxuMC=mo,5,2023-04-08T11:30:29.109Z,"😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️🫂"
"A Google user",https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,4,2023-04-08T07:50:26.538Z,"cool 😎😎😎😎"
"Seema Kumari",https://play-lh.googleusercontent.com/a/AGNmyxbUwn5RnfkkUAHcOHfhfSWnUCVYZZRTjInmkvI=mo,3,2023-04-06T15:25:06.529Z,"Pagal nobody game"
"The Ellis Family",https://play-lh.googleusercontent.com/a-/ACB-R5QE_2N7HTZvORKUfzq9XtEirsFDv4XAgeQ7kkeBuT0,5,2023-04-05T17:57:49.970Z,"This game is so amazing"
"thida aye",https://play-lh.googleusercontent.com/a/AGNmyxbeZSNJKWMzJTbFaSb7GqFkGYKoWw7JfkXTz0J3=mo,5,2023-04-05T08:34:52.875Z,"Cool"
"Sania Hassan",https://play-lh.googleusercontent.com/a/AGNmyxYXMRhUUc80bgK60Vf4b1SV6UWW6zr_Yj7Zyavy=mo,5,2023-04-04T05:49:51.460Z,"5satr⭐"
"Anowara Chowdhury",https://play-lh.googleusercontent.com/a/AGNmyxaglcHpbKpQ_1AJ_psz0Yo9njXrgBWi1xWPhS7w=mo,3,2023-04-01T15:32:59.900Z,"it's a fun game and all But it would be better and harder if you could fight withe the toy and undo the toy"
"FaresVsSami&Sonic",https://play-lh.googleusercontent.com/a-/ACB-R5R31Fk7aXb-8LsGCDwvEFCy6rIn7acF9BrOXECu,5,2023-04-01T05:27:24.770Z,"😎😎😎😎😎😎"
"Aiyanna Norris",https://play-lh.googleusercontent.com/a/AGNmyxabnmNLIf7fMeQPC7OmEIiMiUqUXJCTvK4juGIC=mo,5,2023-04-01T02:50:44.450Z,"awesome game"
"Firash Farish",https://play-lh.googleusercontent.com/a/AGNmyxaFc4tKgrH6LTBPF-g0du95qhfbAy0I0XnnMTYB=mo,5,2023-03-31T05:41:49.690Z,"good game"
"arjuna infinix",https://play-lh.googleusercontent.com/a/AGNmyxZRYBd4EiNB8IycHMdBHb_wYIDl0PuoGQxhsrn8=mo,5,2023-03-30T13:18:27.909Z,"ALL DAY I DREAM ABOUT SXX"
"Brielle Facunla",https://play-lh.googleusercontent.com/a/AGNmyxa2LhDeM2w5QyTA0PA0f3gW1jqGMffOkmp7tuny=mo,1,2023-03-30T00:23:30.143Z,"🥺ggml"
"Pankanj Nath",https://play-lh.googleusercontent.com/a/AGNmyxZsYXWOZZrbmbSjOpxpf9mAVVJsuQf4Zo_RfuPZ=mo,1,2023-03-28T17:30:29.303Z,"xxv"
"Ca Chhakchhuak",https://play-lh.googleusercontent.com/a/AGNmyxbDTucKxgE8nVht_vCyq1qZnfLflagxa0N-r7Bj=mo,5,2023-03-28T07:49:42.920Z,"good"
"Francis 123",https://play-lh.googleusercontent.com/a-/ACB-R5RVsu4VU3B1TzVrY49vhRhAGPAZd2Xatd4WQP2c3g,1,2023-03-27T19:51:37.367Z,"it's boring after a while if you want to get bored download"
"Jude Pacheco",https://play-lh.googleusercontent.com/a/AGNmyxZE5mz1qOXiDZgLr6_06_sFsiKnu3EQKdrqnmxf=mo,5,2023-03-27T18:05:36.817Z,"reds in jdn"
"Kajal Sen",https://play-lh.googleusercontent.com/a/AGNmyxY08GcniQZYMcH1TRypCMcaz5MinUQlXnYPJf3s=mo,1,2023-03-27T08:24:37.930Z,"m CV nadu CV ygingxg😂😇🤣🤬"
"Fathimath Rishana.B.H",https://play-lh.googleusercontent.com/a/AGNmyxZ71exp9-oqtuI8WKcrSCqe-_O3hYHFxzdQuFmN=mo,5,2023-03-27T05:04:22.933Z,"👍👍❤️"
"tarandeep kukreja",https://play-lh.googleusercontent.com/a/AGNmyxYuQm7-dnItq-1ZYU0j72UzZCLjb6NBY3Ud8QZa=mo,5,2023-03-26T23:13:37.287Z,"अमर का कुलदेवता अमर का कुलदेवता अमर का कुलदेवता"
"Sushama Lohar",https://play-lh.googleusercontent.com/a/AGNmyxYx1ISEv-MoNq51ZAhP7uFwk4mzF7cPNqEXSRc7=mo,4,2023-03-25T10:22:10.949Z,"kkoi ko"
"darul imani",https://play-lh.googleusercontent.com/a/AGNmyxY8iTb6qGClYnaScD1IWh9HObgq0lVSuwTI5UQ=mo,5,2023-03-25T07:29:34.950Z,"πΠπ"
"Saba Jawad",https://play-lh.googleusercontent.com/a/AGNmyxaLIHLWKD90dvQ739tHPyUXnFd3Ai7UAXo5A3o3=mo,5,2023-03-22T19:32:26.849Z,"njhyu"
"Laila Salma",https://play-lh.googleusercontent.com/a/AGNmyxbCbi8ieTnReZgGUi1hW0UASJ8Bzr9CW2e-vqGH=mo,5,2023-03-21T17:20:07.820Z,"good 2x"
"jagruti shinde",https://play-lh.googleusercontent.com/a/AGNmyxb8c3iyUmwJ_vFyB0XGi99kGbZGHR0ZbiCeHzTt=mo,2,2023-03-21T15:48:13.937Z,"6gc see this 68t"
"Aliff Farhan",https://play-lh.googleusercontent.com/a/AGNmyxYyCJEOsD_GOnNtr4VitmW773gHdO_to3sm5-BP=mo,5,2023-03-21T13:03:30.201Z,"Hah emang benar ayo kita cuba"
