userName,userImage,score,date,text
"Rudra Dev",https://play-lh.googleusercontent.com/a-/ACB-R5Q6aHjEsrSOkicwYeuJXB5nC8ghD_6rG-j7Wpmr,5,2023-04-14T05:15:06.987Z,"very nice game"
"SOUVIK SHAW",https://play-lh.googleusercontent.com/a/AGNmyxaiVQ3XLIPKcJXnYuATB8iypRmKS7bXoi5uK-FQ=mo,1,2023-04-13T19:22:53.483Z,"This is a fake app"
"SAQIB MHMD",https://play-lh.googleusercontent.com/a/AGNmyxYN0LcTldhdoUsMTVzYCBm9v1ZKQnB7q-wR5IuP=mo,1,2023-04-13T18:59:58.771Z,"Very very bad 😔😔😔"
"Bahati Mathuku",https://play-lh.googleusercontent.com/a-/ACB-R5SQEgV1PUWAVpWL0tVGfP4Tbr1RcijlDP6Fc7LJMQ,3,2023-04-13T10:03:08.942Z,"Pros: Boasts a very nicely crafted GUI, an unrivalled network of test servers & most detailed speed test reports, which can easily be shared by providing a link to Ookla's cloud server. 100% ad-free! Cons: Way TOO BIG for a tool: takes up 115 MB (!) storage. And while ""Speed"" test works fine on my phone, ""Video"" test permanently FAILS (& won't even tell me why), ""Status"" test runs endlessly with NO RESULT. Hence, uninstalled the app & opted for Speedtest browser version + the great 'nPerf' app."
"Sahil Langoti",https://play-lh.googleusercontent.com/a-/ACB-R5TXxJPdvP1cUbaoStvsyevr_6CHAQiKqXllc9hw,5,2023-04-13T06:03:10.952Z,"It's very nice application for 5g smart phones in the 5g smart phones it's literally 450+ Mbps in home"
"Él Chupacabra",https://play-lh.googleusercontent.com/a-/ACB-R5Rj3oR8ZM_qSt2IihH3Rb1uZexiWydsOXVDbinpTA,5,2023-04-12T23:31:19.590Z,"i personally think this app is great!! i love using it, and how it keeps a log so that I can look back and see how my connection has either improved or not. it's just great!"
"Babu Kumar",https://play-lh.googleusercontent.com/a-/ACB-R5Rd2adT7v2Y8ALq8eU9m438pMH1ir0TDLTA5q3j,5,2023-04-12T17:15:51.736Z,"Speed test"
"Kelly Norman",https://play-lh.googleusercontent.com/a/AGNmyxZ4nQcKbbplm8bmK_PYEjLFtcONWsEnCEEHAu49=mo,1,2023-04-12T16:51:32.232Z,"Does not work"
"Mujjammil Maniyar",https://play-lh.googleusercontent.com/a/AGNmyxZ67rzFw377lubXPK_aDWhBT9Hy05itODS3ReO1=mo,1,2023-04-12T12:57:06.530Z,"Fast speed network"
"Boda Editer",https://play-lh.googleusercontent.com/a/AGNmyxavqlf0bv_bQfqpURJnh_a0lqbJ7O99PCfLyD0p=mo,5,2023-04-12T07:28:07.871Z,"Osm is a great place time to for the a lot time hai tere pass liye bhi hai kya na kare ho o o or ka kahan hota hua tha na ho ki tum mujhe pata hai na kya kya hai be a good job with it was not in touch with you in your office at."
"Tony Cox",https://play-lh.googleusercontent.com/a-/ACB-R5TAjwT8ecoO-albEmwBHldKb1EgxBPCU2ztiGfang,5,2023-04-12T02:57:07.516Z,"Just to let you know ive tried to download this a number of times but the private policy button not working."
"อำภา อินตะปาน",https://play-lh.googleusercontent.com/a-/ACB-R5S9EBcEBEk-nJLC6bjvLww0IPFA1tltvT5vdX33Qg,5,2023-04-12T02:12:37.610Z,"Works great here in Thailand!! Thank you!!"
"Karthik Kapoor",https://play-lh.googleusercontent.com/a-/ACB-R5RobFZz03DYl1JJYHs2v2_hOiG5ekyAWa1sIZHXNQ,1,2023-04-11T23:17:50.396Z,"Spy app. This app consumed 1Gb of my data, without even opening it. Why would a speed test app consume 1Gb data. Just delete this app."
"Devvrat Chhoker",https://play-lh.googleusercontent.com/a-/ACB-R5QnIjZ_fr38Iygrdcg70_H3Ynx1Xd0B3A9kod39,5,2023-04-11T19:05:09.181Z,"Awesome app"
"kaviya kaviya",https://play-lh.googleusercontent.com/a/AGNmyxZa_Xq_Y5jksJL1bGkkL6JBlCmsK-PqHEJFwRdA=mo,4,2023-04-11T17:56:16.670Z,"Nice app for Android app"
"vajra vel",https://play-lh.googleusercontent.com/a-/ACB-R5T1QQHB5CWW7-NRmF8G436L6RYwQwVovWGgIPxe2A,1,2023-04-11T17:06:59.379Z,"Very bad"
"Maluti Panja",https://play-lh.googleusercontent.com/a-/ACB-R5SZg7Cd2fxHrO7NPvOuIscCYgTvB6atGE-0yXqG,5,2023-04-11T16:42:50.521Z,"Super app"
"arrowpss 09798742379",https://play-lh.googleusercontent.com/a-/ACB-R5QMXNm-4OoHUcazuobATCFpxJK60LA4daHVQBu5Lw,5,2023-04-11T13:16:46.451Z,"Good"
"Usaman Larik",https://play-lh.googleusercontent.com/a/AGNmyxbVnNOf8CK6clO2hS3C5kAlFngXKl_zVOjVEKD4=mo,1,2023-04-11T11:31:55.316Z,"Geo"
"NSB",https://play-lh.googleusercontent.com/a/AGNmyxbSGT7a16fG9IUfAywiPr3eAvXtCIBTtYwBQCxGJBE=mo,5,2023-04-11T07:29:45.190Z,"Solid speed test app. Around for a longtime with good track record. Now with VPN included (by IPVanish), can test & secure any connection. Reliable, useful & lightweight (not a ton of annoying, unnecessary adds- never pop up style). 5 ⭐'s for doing what the tin says & more!"
"Raj Jat",https://play-lh.googleusercontent.com/a-/ACB-R5SPz-fYc-L9W7VMC76C_U8ZFDrP2L0fVDgsdIa64g,1,2023-04-11T06:31:19.824Z,"Don't use data chori"
"Vihangi Sanjula",https://play-lh.googleusercontent.com/a/AGNmyxbLDJfKZhVPkLJHRNirC5SOvkY7Nc2OOkW-Ftc4=mo,5,2023-04-11T01:45:49.605Z,"Superb"
"RD Gamming",https://play-lh.googleusercontent.com/a/AGNmyxZV7awasTcqAJSOPdgjt8lZBO4bTp4Qj4FxYnw3=mo,1,2023-04-11T01:25:43.664Z,"VPN IS Worst. I ALWAYS GET 120ms PING IN BGMI BUT AFTER I USE THE VPN I GET 667ms PIN 😭😭😭😥😥😨😨😨"
"Brian Brackney",https://play-lh.googleusercontent.com/a/AGNmyxaisx3DAFz9AmbCki3CM18Bzn1Jc1Ei9np99WJw=mo,4,2023-04-10T21:22:53.190Z,"A great idea is have a suggestion icon. It analyzes your internet speed and gives you recommendations from experts for tweaking the internet and router settings, what to do and not do plus best router to buy for the internet speed person has"
"ً",https://play-lh.googleusercontent.com/a-/ACB-R5RvOGr4SoSgCjDpvfEgKOKqaMpGkPjPdDB3kjyt8A,3,2023-04-10T17:43:43.115Z,"Omaigad really"
"Asaph Gichaga",https://play-lh.googleusercontent.com/a/AGNmyxaNtF5mXELWaFxrrvMIQKO6MkG2MEVmxYECCt3E=mo,5,2023-04-10T13:13:35.900Z,"Good application"
"Hayden Quinn",https://play-lh.googleusercontent.com/a/AGNmyxam6huq70-zklZmyjmeksrLbm3eQmTtEdjE9A1r=mo,5,2023-04-10T06:03:34.960Z,"Thanks for fastest VPN, available for FREE.!"
"Tika Tika",https://play-lh.googleusercontent.com/a-/ACB-R5TVV00QAmrMIKOSlVwkdrj_yoBqG2gQrZNbhT_0,1,2023-04-10T03:34:15.642Z,"not working at all"
"Naveen Kumar Nallathambi",https://play-lh.googleusercontent.com/a-/ACB-R5SlfnapQb8mCMyLkouvBFCK0n0uGi63AqXsj53_kQ,5,2023-04-09T16:16:36.125Z,"Very nice app"
"umair ghani",https://play-lh.googleusercontent.com/a-/ACB-R5SBqp0Xt26XrJjBF6KQo6BAtOT-2GNVBjxZ8lFf,5,2023-04-09T16:13:56.264Z,"Best app"
"Ismail Pashtoon",https://play-lh.googleusercontent.com/a-/ACB-R5QpfH_3NXC4Q0Ej3sHUtW2AKO2v1NM5_0yUQbV4,5,2023-04-09T12:10:45.790Z,"5g"
