userName,userImage,score,date,text
"Dimebag Kisser","https://play-lh.googleusercontent.com/a-/ACB-R5Qvuyp7uiuOuckDUj9lBKkP_ItQ0218zvmyqVtdxA",5,"2023-04-10T04:18:12.619Z","easy to set up and use"
"Prakash Kumar Rout","https://play-lh.googleusercontent.com/a/AGNmyxZ9XUUgf4bsfQXbK1-dPr-dyA6AW0J82ivhupkq=mo",4,"2023-04-10T01:00:30.262Z","Sometimes it asks to enter the passcode manually even if you click approve on the notification."
"S A1","https://play-lh.googleusercontent.com/a/AGNmyxauO8ZTzo5kaDVX84DQY_Ot9j23orYrj1lL_fubkA=mo",5,"2023-04-08T08:14:32.530Z","Exceptional!"
"anand prakash","https://play-lh.googleusercontent.com/a-/ACB-R5SqjS8UBmxgVDS85jExf6mala78KkKdd3KpdaUKbg",1,"2023-04-07T12:31:13.572Z","Unable to enter pairing key. The number I enter first 3 digits some number gets populated automatically and cannot change it🤷🏻‍♂️"
"Julian Wefers","https://play-lh.googleusercontent.com/a/AGNmyxZyTebvF_Gxiwk0e8u-omiTJNWZ0m03ZZlLG4Pi=mo",2,"2023-04-07T09:05:49.418Z","Sometimes a prompt notificatiom simply never appears. Even going into the app does not show it. Only when re-triggering it in the login flow it finally appears. When you click ANYTHING else other than the notification, its gone and never returns, e.g. going into the app instead of clicking the notification - its simply gone."
"pammy richards","https://play-lh.googleusercontent.com/a/AGNmyxYToKAnilzCJ_8QooD50rn7fHSPnn4SZNbGpob_=mo",3,"2023-04-03T01:44:16.109Z","How would I know that I need my old phone in order to activate it on my new phone? Now I can't log it. Why should it be so difficult"
"Sahil gamer","https://play-lh.googleusercontent.com/a-/ACB-R5TgOXL9TtZg71_eRDQMJ-ltecKSvYaKqnxeJ_Ac",5,"2023-03-31T14:10:48.498Z","Please provide latest update for andriid also similar like windows"
"bhavesh bhagat","https://play-lh.googleusercontent.com/a-/ACB-R5RKgTmuU_OfCqtwlSq0dEiDOR3Euk03iEq77Qxilw",1,"2023-03-27T03:51:40.920Z","Doesn't work properly in OnePlus 11r"
"Ajay kumar Dwivedi","https://play-lh.googleusercontent.com/a/AGNmyxb9V0A-0EIfxg0W8OkwvvQ0T517hjDLh3sZKYL-=mo",1,"2023-03-25T08:23:18.132Z","Unable to on swipe option"
"Pawan Kapoor","https://play-lh.googleusercontent.com/a-/ACB-R5QX93UrO83q2qLd-81TSv49WK0C0AKmyIoGFtSN5g",3,"2023-03-25T02:50:03.853Z","No option to change password if don't remember 1"
"Steel Melchizdek","https://play-lh.googleusercontent.com/a-/ACB-R5Tw6nEel2Ro743AnBWwRQBxonyPkEIgSRXN-77G",5,"2023-03-24T13:39:29.300Z","Great"
"Sravan Kumar","https://play-lh.googleusercontent.com/a-/ACB-R5TOKzlqo5svThsZvXvlpsp3BFaEg8sbKbQk0rWVPw",5,"2023-03-23T16:25:28.461Z","App is Good.. Never faced issues mostly."
"Jatin Shetty","https://play-lh.googleusercontent.com/a-/ACB-R5RycpLTrJdpb6hmeg4JePdgYJKB2EyshIaE5t4Y54k",1,"2023-03-23T03:57:43.346Z","Device isn't rooted yet it says it is, probably detects unblocked bootloader not even banking apps do this, what's the need? Simply doesn't work on a custom rom(lineage os)."
"Mike DeGrado","https://play-lh.googleusercontent.com/a-/ACB-R5RKIcDb6aB5Aqh8sVHlcj1JHlyTgG7lQzrXlxEv4w",1,"2023-03-21T17:35:37.547Z","my s10 android keeps rebooting and putting itself in safe mode since I installed this app. Tried reinstall, rebooting and nothing helps. Phone/App is fine in safe mode only"
"Viacheslav Rodionov","https://play-lh.googleusercontent.com/a-/ACB-R5Sy4L9BaO2AZzQPEDhpLI1XmFJjw8MhKCt9XunK",4,"2023-03-21T11:19:25.873Z","Good."
"yogesh kumar","https://play-lh.googleusercontent.com/a-/ACB-R5TMylaGu98SAaSVleMXvuQwIvQ2gk9gIQuCznl3Dw",5,"2023-03-20T11:04:50.931Z","Good"
"Vijay Pawar","https://play-lh.googleusercontent.com/a/AGNmyxatlAE1oi2zQWs3gUzdERBDPz1OQWt4tJBB6B1i=mo",1,"2023-03-19T18:47:39.574Z","I bought samsung A23 5g phone and want to transfer old phone ping ID access to new phone. My pingid scanner is not scanning anything complete blackout in scanner of ping ID app under new samsung A23 5g phone."
"Apprentice Kate","https://play-lh.googleusercontent.com/a-/ACB-R5SyhZ6TJCbnCdDssnQFylmaIzALQgd129YN82T07A",1,"2023-03-16T21:31:38.100Z","Horrible. I just got a new phone and of course it locks me out and now I cannot log into my school account. Trash and useless app that cannot even give a pairing key. Deserve 0 stars. Waste of a production."
"Lysish Villalobos","https://play-lh.googleusercontent.com/a-/ACB-R5T44Ix7Bc3cZuiypAHMR9fpgloS5ax9lHnTwsmUQA",1,"2023-03-16T00:50:24.701Z","Swipe option is disabled"
"Ryan Hoffman","https://play-lh.googleusercontent.com/a/AGNmyxbvSkxEBKTAI1u3xrf2DN28C5lMaGCExl4PmCKx=mo",1,"2023-03-15T03:27:16.627Z","Awful design. Can't sign into to a new phone at all and I need to get my emails for work. 1/10."
"Samantha Simpson","https://play-lh.googleusercontent.com/a/AGNmyxaeC2xNplEpelmBMRZSwiB6QJgLyrEdPJXKY3A8=mo",1,"2023-03-13T09:50:56.293Z","It's hard to navigate. The company makes you use this app, and most of the reviews are bad."
"sheri waldron","https://play-lh.googleusercontent.com/a-/ACB-R5R1dDBl_jP56x937eyxEiv8TgJYFWw1l1f9BQb84A",2,"2023-03-12T12:47:37.686Z","Doesn't really work on my Android phone. Every time I have to hunt the app down and the app does nothing by itself. I do not use this app at work, everything I access at work goes through SSO. I give it a 2."
