title,appId,url,icon,developer,currency,free,summary,scoreText,score
"Bash the Teacher! School Prank",com.chopperkhan.BashTeacher,https://play.google.com/store/apps/details?id=com.chopperkhan.BashTeacher,https://play-lh.googleusercontent.com/i3aoSrPJ9zmZgZGQd4M6Kkq63b3y9Z8acQFDLnyl7WrrRRoQIuOd_k7jMb63luIuo-M,"Digi-Chain Games",USD,true,"Bash the scary teacher in this funny idle clicker school prankster game!",4.8,4.75
"Prankster 3D",com.zatg.scaryteacher.prankme,https://play.google.com/store/apps/details?id=com.zatg.scaryteacher.prankme,https://play-lh.googleusercontent.com/TgC7wljMFmEQObdGGHw3RjAbazcoAK40Ea4Q9XxveUV66t_S69DV7scGJnoO7vCvn24,"Z & K Games",USD,true,"The rivalry between Nick &amp; Miss T takes a new twist. Nick is back with a new set of pranks to teach a lesson to Miss T – commonly known as Scary Teacher.<br><br>Nick is a high school genius boy and Miss-T is worst high school teacher. Miss-T has been threatening kids, giving physical punishment and at times torturing kids. Now scary teacher has relocated to a posh private high school and Nick is going to save the kids in the neighborhood.<br><br>The chapter 2 provides enormous opportunities to troll Miss T with exciting funny pranks that she had never imagined before. Take your revenge by annoying her; as she has been doing in high school. Don’t miss this golden opportunity to prank her.<br><br>Sneak into her room, perform trick activities and spoil her work plans anonymously. In each level, Miss T is doing some work; you have to ruin her doings with unexpected twists and turns. Are you genius enough to create pranks for her? Set up the most amazing pranks by choosing the correct options and watch the fun.<br><br>Let&#39;s make some funny situations to give her panic attacks! <br><br>Features<br>Are you bored?<br>It&#39;s time to set up the most amusing pranks. Design the most playful tricks to play on Miss T.<br><br>Looking for an adventurous and addictive gameplay?<br>Start playing and you will keep on teasing Miss T<br><br>Variety of  levels to play.<br>Amazing pranks for you to plan and execute",4.2,4.1653543
"Nick & Tani : Funny Story",com.zatg.nick.tani.lovepuzzle,https://play.google.com/store/apps/details?id=com.zatg.nick.tani.lovepuzzle,https://play-lh.googleusercontent.com/O-EyLa-t-lEEHl20i15ZWgO_yZ_BnGN5o-4S52VdHJ1pljqMYi-wRH4IU2045evhWA,"Z & K Games",USD,true,"Nick &amp; Tani is an epic love prank battle between nick and tani who are the main characters of scary teacher 3D.<br><br>This is the story of a popular boy and a popular girl battling it out for glory!<br>Both Nick and Tani rally their sides in an attempt to win back their school and gain dominance over what they feel is rightfully theirs. This battle sets off a series of pranks and mischief, as the boys and girls fight for their ultimate high school supremacy!<br><br>Experience new ways of pranking your love and brag about it. Become the coolest high school kid in the epic prank battle",3.9,3.9
"School Pranker vs Mad Teacher",com.Hitberry.SchoolPrankerVSCrazyTeacher,https://play.google.com/store/apps/details?id=com.Hitberry.SchoolPrankerVSCrazyTeacher,https://play-lh.googleusercontent.com/5UqGLA6ceI7tAseX76Iz41qBHYgEz_usQhKJY_L_UOfDfcHegUE1szqNYsapr2EH5eI,"HitBerry Games",USD,true,"You have various types of pranks, realize them and be the best pranker",0.0,N/A
"Papers Grade Please!",com.hyperdivestudio.papersgradeplease,https://play.google.com/store/apps/details?id=com.hyperdivestudio.papersgradeplease,https://play-lh.googleusercontent.com/-9DPk7phpa9QhpX7GU6Fsykq-vzVpc1ux4lUWOmmMFaWP5bpL9IPkKx2VvEmzI9FscEd,"Lion Studios",USD,true,"How smart do you think you are? Hopefully you have enough brain power to grade the answers from your students! Kids say the funniest things and it is up to you to catch what is right and what is wrong. Give students A’s or F’s based on their answers. Careful, not all of them are geniuses so it is up to you to catch the wrong answers!<br><br>Students will try to be funny and outwit you with your answers. It may be funny, but it will still be wrong! Fail that kid! We don’t appreciate their attempts to be comedians. Make sure they know math, english, or geography. Some of the answers might even have you feeling like a smart, brainy professor. Help these kids out and prep them for college - you are on your teaching journey!<br> <br> Game Features:<br><br>1.      Make the right choice!<br>Hopefully you are smarter than these 5th graders! Some questions might even have you stumped!<br><br>2.       Many levels to play<br>So many fun and challenging questions for you to answer and grade.<br><br>3.        Fun for the whole family<br>Whether you are a teacher, a substitute, a professor, or not in education at all - this game will have you laughing and thinking.<br><br>4.        Simple and Addicting Gameplay<br>Once you start you won’t be able to stop. Answer questions, break up fights in recess, watch over detention - it’s like you are back in school again!<br><br>                                                                                                                                                                                                                                                                       <br>Whether you are a fan of puzzlers, word games, trivia games, quiz games, brain teasers, or you just like answering questions, then Papers Grade Please is the game for you! <br><br>Visit https://lionstudios.cc/contact-us/ if have any feedback, need help on beating a level or have any awesome ideas you would like to see in the game!<br><br>Follow us to get news and updates on our other Award Winning titles;<br>https://lionstudios.cc/<br>Facebook.com/LionStudios.cc<br>Instagram.com/LionStudioscc<br>Twitter.com/LionStudiosCC<br>Youtube.com/c/LionStudiosCC",4.6,4.6398206
"My Teacher - Classroom Play",com.tabtale.teacher,https://play.google.com/store/apps/details?id=com.tabtale.teacher,https://play-lh.googleusercontent.com/bxpvXpOJqKMvxPQ8btPuk0xknwtNHn9-m78qvMujoFzDwZ17V0VUDjOjHNG3TPQfRKc,"TabTale",USD,true,"Rise and shine! It’s time to go to school, in one of the funnest school games around! You’ll just LOVE being a teacher! Get ready to teach at the coolest school ever, packed with super fun and creative activities! Be the kids’ favorite new teacher! Help them solve puzzles &amp; take care of adorable pets! School games can be SO awesome.<br><br>It’s time for the most amazing school games adventure! School games have never been this cool and exciting! Once you see what this fabulous school has in store for you, you’ll never want to leave! From pet care to puzzle play, there are endless fun and educational activities! Who knew school games could be SO much fun?!<br><br>Features:<br>&gt; It’s time for school! Dress up in your best school clothes and become the best teacher EVER, in the most amazing of all school games!<br>&gt; It’s cleanup time! Get the classroom ready for a fun day of learning!<br>&gt; Meet your cute new students – they just can’t wait for you to teach them! <br>&gt; Use your artistic side to decorate the classroom in your own style!<br>&gt; Help your students solve tricky puzzles, matching games &amp; more! <br>&gt; Write colorful notes to the students on the chalkboard!<br>&gt; Take a silly school photo with all of your adorable students!<br>&gt; Play with and take care of the fuzziest class pets! Hamsters, bunnies, turtles &amp; more!<br>&gt; Teach the kids to play musical instruments in the coolest school band! Rock on!<br>&gt; Paint, draw and get creative in art class! Tons of coloring pages to choose from!<br>&gt; Enjoy delicious meals and yummy treats at lunchtime! Make your own pizza &amp; cupcakes!",3.8,3.7869935
"Hide N' Prank",com.zatg.catchme.pranks,https://play.google.com/store/apps/details?id=com.zatg.catchme.pranks,https://play-lh.googleusercontent.com/ZZz_aP6lZxpcbbU7EZgM9pU9hm4B2VzoNNtIq8cF7iemNwY-rG3GOVyzKpyIXY2j-Nk,"Z & K Games",USD,true,"The rivalry between Nick &amp; Miss T has no end; Nick &amp; Tani are ready to teach her a lesson!<br><br>Occult pranks are fun! even more interesting at the teacher&#39;s place. Nick takes a new twist to prank Miss T with extra kicky shocks. Miss T is alone at home, Nick just sneaks into the teacher&#39;s house and plans to trick her amusingly.<br><br>Do you want to ruin teachers&#39; plans with your pranks?<br>Are you with Nick and Tani in this new challenge?<br><br>Stay Alert!<br>Miss T is patrolling around her home, doing different chores. Just secretly pull pranks on her and hide somewhere, so she doesn&#39;t catch you while setting up the pranks. Once she catches you, she will kick you out of her house. So, set traps anonymously. Keep yourself and your pranks out of her sight.<br><br>Pranks are easy to play for everyone!<br>you will be shown two choices, Choose the right option so the pranks will be executed on point.<br><br>FEATURES:<br>- Well-designed brain trainer levels.<br>- Play pranks anytime, anywhere!<br>- Adventurous and challenging gameplay<br>- Multiple funny hide online pranks with playful epic strategy<br>- Secretly carry out the fun plans on Teacher<br><br>Did you see anything suspicious?<br>Keep an Eye on Miss T and relive the tricks you always played on her!",3.6,3.5555556
"MySchool - Learning Game",com.sbt_human.ptitsprofs,https://play.google.com/store/apps/details?id=com.sbt_human.ptitsprofs,https://play-lh.googleusercontent.com/m9LfEHFQEn_UTb2fRBSsVpkQf7TpnBACCPiAHwjDCWLlvkEYcuu4mbJqDk5W1YUTa9w,"SBT Human(s) Matter",USD,true,"With 1 million+ users, MySchool is a classroom game where you get to play the role of the teacher!<br><br>If you’re tired of boring learning apps that don&#39;t give you any freedom to choose your own educational journey MySchool is for you! <br><br>Unlike other learning apps, with MySchool you are the teacher at school and the master of your education! Our education app has a classroom game for every elementary school grade level. These games are designed by real teachers and curriculum experts! <br><br>Teach your students, give them practice solving math problems, keep them from messing around in class, and more. Best of all you can tell your parents that you’re not playing games but focusing on your education 😉.<br><br>🛎️Start the school day by ringing the bell, and opening the class book to take attendance. Then begin a lesson solving math problems or teaching English to your students. <br><br>✏️As you ask your students the lesson questions, you will call on them to provide an answer, and let them know if they are correct or not. <br><br>📖By accurately letting the students know if they picked the right answer, you will progress through the game and earn points that you can use to buy items to decorate your classroom. Moreover, you will unlock exercises to help you practice solving math problems and learn grammar. <br><br>📗Each level of the game has a different set of tasks that you need to complete. At some levels you will have to correct tests, and solve grammatical problems. At other levels you will be asked to create homework questions and solve math problems. <br><br>🐰Once you have enough points, you can even buy a classroom pet rabbit! But be careful, as the rabbit needs to be fed and their cage has to be cleaned or they will become really sad! <br><br>🍎You can also grow your classroom by adding more desks and students! <br><br>💯Further along in the game, you can create your own school and invite your friends to join it! Have fun creating custom homework and tests for your students to challenge them!<br><br>🎓And remember, if you get bored of a classroom game in one grade level, MySchool has 1st grade learning games, 2nd grade learning games, 3rd grade learning games, 4th grade learning games, and 5th grade learning games where you can take the fun and learning to the next grade level!",4.7,4.737903
"ClassDojo",com.classdojo.android,https://play.google.com/store/apps/details?id=com.classdojo.android,https://play-lh.googleusercontent.com/Gs9sDEEKVgfudbPiC7tsP09DbljI5hUSHwcWq6ZzXxrR6aTOz00T4bygzlECUcSq_g,"ClassDojo",USD,true,"Ready to build an amazing classroom community?<br><br>ClassDojo is a beautiful, safe, and simple communication app for teachers, parents, and students. <br><br>* Teachers can encourage students for any skill, like “Working hard” and “Teamwork”<br>* Teachers can bring parents into the classroom experience by sharing photos, videos, and announcements<br>* Students can add their classwork easily to their own digital portfolios for their parents to see<br>* Teachers can also safely and instantly message with any parent<br>* Parents see their child’s updates at home, as well as a stream of photos and videos from school<br>* All your favorite teacher tools, like Group Maker and Noise Meter, are now in one place!<br><br>ClassDojo helps teachers build a positive classroom culture by encouraging students and communicating with parents.<br><br>ClassDojo is free for everyone, and K-12 teachers, parents, students, and school leaders in over 180 countries have joined. It works on all devices, like tablets, phones, computers, and smartboards.<br><br>See how much people love ClassDojo at: www.classdojo.com/wall-of-love/<br><br>Join the ClassDojo community today!",4.8,4.7729893
"Anime School Teacher Simulator",com.pcg.anime.high.school.teacher.simulator,https://play.google.com/store/apps/details?id=com.pcg.anime.high.school.teacher.simulator,https://play-lh.googleusercontent.com/H8cTIpzSGfDVKChD9YEKslxNYEJWEbdgbcVqZ7ofBBDwX5pLzW2tC0FEnv1ZC2ceZw,"E404 Games",USD,true,"Anime High School Teacher Simulator- School Games<br>Participate in high school girl teacher simulator to recall school life days.<br>Let&#39;s start your role as a anime high school teacher to control your classroom by getting quiz test and earn money after completion your tasks as a school teacher simulator game. Make fun along with your anime school teacher and get excellent grades in the quiz test that are conducted during the class in school life days. Welcome your new anime teacher and get the good marks in this teacher simulator games. Amazing school teacher simulator assign tasks to accomplish or punish the naughty students that are doing cheating in the quiz test to enjoy high school games 2021. Let us now explain to you how a virtual teacher spends his teaching life on virtual high school game. The school teacher simulator gets up early in the morning ready for high school in this anime high school games. Multiple quiz test you have to conduct from the anime school students and give the mark according to the paper attempt in this high school teacher simulator 2021. After that school teacher goes to the room for wearing the formal dress in anime school girl games. Punish the high school students that are not get good marks in the class test or that were absent yesterday in this high school teacher games for all anime school girl lovers. <br><br>The high school teacher reaches school at the time and get the class regularly. The teacher then goes to his staff room and meets with his colleagues in Anime High School Teacher Simulator- School Games. Be the best student and get the good marks or grade A+. The virtual teacher starts the class attendance of the school students in this teacher simulator games 2021. Get the daily quiz test and learn a lot to enhance your knowledge and select the correct answer in this high school teacher simulator games.  The anime school teacher started to do the introduction of the students in the preschool teacher game. After that virtual teacher starts the lessons in the classroom. Amazing atmosphere adventure along with best school life days fun in this Anime High School Teacher Simulator- School Games. Deliver lectures to the students very carefully and as a student kindly get the best marks or request the crazy teacher like papers grade excellent in this school life days. The students hearing all lessons silently and clearly understand in a high school game and get outstanding papers grade. The virtual school teacher takes tough tasks and easily complete them in high school games. Show your anime school teacher simulator skills and teach lessons to your school students and conduct match the quiz to your anime school students in anime school girl teacher 2021. <br><br>In Anime High School Teacher Simulator- School Games, also arrange a variety of activities for students and punish the student or accept the apologies and get them free of that high school students. You have to take a class test which will prepare the students well and they will work hard to get good marks in this crazy teacher simulator game. Give the prize to the students who will good perform in the class test in teaching anime high school game. We will give you the multiple teacher simulator games quiz test to accomplish school life days 2021. You can learn all skills of teaching and give the good grades to bright student in this school teacher games. The virtual school teacher missing a lots of school life days and make fun with mad school teacher this time on sizzling high school games 2021.<br><br>Anime High School Teacher Simulator- School Games Features:<br>* Lots of challenging tasks for students and teachers in this high school games<br>* Amazing game play with high quality graphics and multiple quiz test conducted by virtual teacher<br>* Learn all teaching skills in teacher simulator game",2.5,2.4772727
