url,appId,summary,title,developer,developerId,icon,score,scoreText,priceText,free
"https://play.google.com/store/apps/details?id=com.zymobile.toy.candy.cookie","com.zymobile.toy.candy.cookie","It’s time to enjoy the fun😁 in the new match 3 game---Toy &amp; Toon! Switch, match and crush hundreds of toys🎠 to challenge funny puzzles and make high scores with your friends👩👨.<br><br>Start your adventure in a magical toy world. Match three or more blocks of the same color🎨 by your fingers and make the toy world by combining special boosters, Experience the greatest adventures🏅 through hundreds of levels in the toy world and your puzzle skills will be show off with hours of block blasting&amp;crushing fun!😘<br><br>Play toy crush with your friends and players from all over the world in tournament🏆 to see who can get the highest score and gain more reputation🏅!<br><br>-HOW TO PLAY-<br>●Swap to match 3 or more similar toys in a line to crush them.<br>●Match 4 puzzle pieces create the direction toy bombs.<br>●Match 5 in T or L to create cross or diamond toy bombs<br>●Crush and Blast blocks away with power-up boosters.<br>●Find different kinds of powerful combos is the key to solve puzzles in toy world.<br>●Don’t forget to get daily rewards and spin the wheel for free gifts<br><br>-Toy &amp; Toon FEATURES-<br>●🆓Completely free game to play;<br>●🎉Over 600 funny&amp;challenging levels in toy world;<br>●😄Various interesting events in every week;<br>●⏳Update 40 exciting levels in each month;<br>●🏆Challenge other players from all over the world in unique tournament;<br><br>Download Now!<br>Join us and enjoy the fantastic toy world!😍","Toy & Toon 2023","ZYMOBILE LIMITED",N/A,"https://play-lh.googleusercontent.com/PoI7DATZ4MePCPNN2PutDquuJH-duCX-lfd32vLWv-BQaZVMDVaqxlbwuorY3sZm",4.859126,"4.9",N/A,true
"https://play.google.com/store/apps/details?id=net.peakgames.amy","net.peakgames.amy","<b>IT’S TOY BLAST TIME! THE ULTIMATE MATCHING PUZZLE GAME PLAYED BY MILLIONS OF USERS EVERY DAY!</b><br><br>Match the cubes of the same color and combine boosters for huge explosions to blast your way through thousands of levels!<br><br>Fun is at the tip of your fingers, with the most fascinating puzzles you will ever solve!<br><br>There are countless possibilities, and your talent in solving puzzles will be key in mastering Toy Blast and helping Amy on her journey.<br><br>Experience the greatest adventures through infinite episodes in the most colorful lands of the Toy Blast.<br><br><b>TOY BLAST FEATURES:</b><br>● Unique and simple gameplay - just tap the matching cubes<br>● +7500 puzzles, easy and fun to play but challenging to master<br>● Fun events every day: Cube Party, Star Tournament, Team Adventure, Crown Rush, Rotor Party and Team Race<br>● Legends Arena, where you can compete with the best players!<br>● Join a team to compete with others and get lives!<br>● Complete the daily challenges of Hoop Shot and claim your rewards!<br>● Dozens of adorable characters and toys to keep you company on your adventure<br>● Numerous boosters and powerful combos to help you solve puzzles<br>● Leaderboards to compete with your friends and players all over the world!","Toy Blast","Peak",N/A,"https://play-lh.googleusercontent.com/uzIGk-ZqUpbSdTErg6fr4wagWHmj_ul9Bw7ZtNqZvOqnM6xgdXnqsl8GKg2u9U0Y",4.645729,"4.6",N/A,true
"https://play.google.com/store/apps/details?id=net.peakgames.toonblast","net.peakgames.toonblast","From the creators of Toy Blast comes the ultimate puzzle game with unique gameplay and endless fun!<br><br>Enter the crazy cartoon world starring Cooper Cat, Wally Wolf, Bruno Bear and enjoy loads of whacky and challenging levels! Blast cubes and create powerful combos to pass levels. Solve puzzles to help the Toon gang as they travel around magical worlds! <br><br>Join the wildest adventure of your life and have a BLAST!<br><br>FEATURES:<br><br>● Complete tons of challenging levels and unlock new episodes!<br>● Play with unique game objectives and dozens of entertaining obstacles!<br>● Unlock whacky boosters to blast your way to the next level!<br>● Collect stars by completing levels to win awesome rewards!<br>● Create your own team &amp; compete with others to rule the puzzle world! <br>● Receive lives from your teammates to keep on playing! <br>● Sync your game easily between your phone and tablet!<br>● Easy and fun to play yet challenging to master!","Toon Blast","Peak",N/A,"https://play-lh.googleusercontent.com/gtbXJIRh-y3vS3885bqy-4y8noqfzFym7Ep47eoZuZs_6wd5lc4L0_sWp66lMmD7Olw",4.643054,"4.6",N/A,true
"https://play.google.com/store/apps/details?id=com.freeblockgames.toy.toon.mania","com.freeblockgames.toy.toon.mania","Match 2 or more cubes of the same color to solve puzzles and clear levels. With limited moves, your puzzle-solving skills will definitely be challenged.<br><br>In Toy &amp; Toon Mania : Puzzle Blast Game you have to drop and collapse colorful blocks while enjoying the addictive gameplay ! Blast your way through thousands of amazing levels in this amazing puzzle game. <br><br>Toy Mania FEATURES:<br><br>◆ Complete tons of challenging levels and unlock new episodes!<br>◆ Play with unique game objectives and dozens of entertaining obstacles!<br>◆ Spectacular boosters to solve the level.<br>◆ Great graphics and cute characters. <br>◆ Super addictive gameplay (You&#39;ve been warned!)<br>◆ Free to Play and filled with adventure.<br>◆ Fun and easy game to learn, yet a rewarding challenge to master.<br>◆ Over 1000+ awesome levels! And more to come!<br>◆ Collect and break colorful cubes.<br><br>Toon Mania is completely free to play but there are advertisements in game. <br><br><br><br>No more CANDY CRUSHING , COOKIES SMASHING , DIAMOND BREAKING or MATCH 3 gameplay! Just amazing simple tap gameplay!<br><br><br>Last but not least, a big THANK YOU goes out to everyone who has played Toy Toon Mania<br><br>Don&#39;t forget to rate and comment so that we can improve the game.","Toy & Toon Mania : Puzzle Blas","Free Block Games",N/A,"https://play-lh.googleusercontent.com/OrZMEMvM0t3e6pE1hRzsqLZS9_oA9koiZT8PNcCJgkVK22tYAzoc_LM2sGAvowDnK0s",4.560606,"4.6",N/A,true
"https://play.google.com/store/apps/details?id=com.xzdailygame.ToonToyCrush","com.xzdailygame.ToonToyCrush","toon toy crush<br>Play toon toy crush , the best free match 3 puzzle game!<br><br>Welcome to the toon toy crush, the best free match 3 game with the greatest challenges! Download it right now to step into this toy world filled with cool puzzles. Start this unlimited free fun crushing, swapping, switching, popping and matching 3 or more toys in vertical or horizontal lines to blast, pop or crush them.<br><br>Reasons to Play:<br>- 300 puzzles to solve, all possible to beat without spending a dime<br>- allows you to earn gems instead of always buying them<br>- tons of fun, can play online and offline<br>- the entertainment is endless, unlimited, and best of all it’s free<br>- amazing graphics and cool backgrounds<br>- awesome sounds and catchy music track<br>- fast paced classic toy match 3 game","Toon Toy Crush","Enjoy Your Games",N/A,"https://play-lh.googleusercontent.com/b1EdBJuuqVBOAFz-KxCKZPvxbZo8ALfhqP-tSkgbO0M57GZa4cBCud3OuGz7IihBW2M",4.48,"4.5",N/A,true
"https://play.google.com/store/apps/details?id=com.toybomb.blast.cubecrush.free","com.toybomb.blast.cubecrush.free","Toy Bomb: Blast Cubes Puzzles is the most popular blast game! Full of challenges and fun! Filled with thousands of fun and challenging match 3 puzzles levels!<br><br>Come to an exciting adventure in the world of Toy Bomb! Swap color blocks, match cubes, and create powerful combos to blast the toy cubes! Solve puzzles and pass levels to get tons of rewards! Enjoy solving puzzles. Match and crush cube in a fun classic game full of challenge.<br><br>Tap to crush 2 or more adjacent cubes of the same color. When more than 5 cubes are taped to crush, a powerful bomb will be there. Collect stars to get a variety of powerful special bombs to make a beautiful blast, bring you a refreshing experience and create your bubble saga. Jump into the next level match 3 gameplay through marvelous graphics and amazing puzzles.<br><br>A lot of uber wonderful puzzles to enjoy! Each new episode comes with free coins, unique awards, surprising tasks, and uber-cool matches! Let&#39;s relax and join yourself in the big block blast adventure of Toy Bomb, blast the cubes at all to continue your own saga.<br><br>The Game Features:<br>- Cute character to keep you company on your adventure<br>- Addictive gaming experience that can share your saga with friends<br>- Over 2000 levels, easy and fun to play but challenging to fully master <br>- A casual puzzle game that will relax your brain<br>- Offline games. Play anytime without internet or WIFI <br>- Simple operation &amp; excitement challenges<br>- Brand new play game with an amazing screen, quality graphic and vision effects<br><br>How to play:<br>- Swap and match more than 2 identical toy cube to crush fun levels<br>- Make special toy combos to help you crush various barriers<br>- Collect the power-ups to help with the tough situation<br>- Gather enough target items to win before you run out of moves<br>- Solve all kinds of puzzles in the journey<br><br>A big THANK YOU goes out to everyone who has played Toy Bomb. Just start swapping for the endless fun in Toy Bomb amazing world.","Toy Bomb: Match Blast Puzzles","Jewel Loft",N/A,"https://play-lh.googleusercontent.com/4vUlAlw8Zc7ZGW8s-inQzJEMHajkB7BaJ-wIRU45-QrhStm0mRXIyDvsGMiCUThte7Q",4.648506,"4.6",N/A,true
"https://play.google.com/store/apps/details?id=com.toy.cubes.blast.toy.crush.free","com.toy.cubes.blast.toy.crush.free","Tap to crush toy cubes and blast it all! Following the adventure and start your journey with friends.<br><br> Blast the blocks and enjoy this adventure filled with cute toys. There are over 1000 well-designed levels in this toy cubes match 3 puzzle. The best puzzle game will bring you a lot of fun!<br><br>Download it now for free! Enjoy the cheerfulness in Toy Cubes Pop: Blast Cubes. Internet is not necessary for cube blasting. You can play the game at anywhere anytime and addicted to this toy paradise. We are looking forward to you to challenge!<br><br><br>[HOW TO PLAY Toy Cubes Pop: Blast Cubes]<br><br>- Tap to crush any 2 or more adjacent blocks of the same color<br><br>- When more than five squares of the same color are crushed, a special bomb can be produced<br><br>- Collect stars to get a variety of powerful special bombs bring you a refreshing experience<br><br><br>[THE FEATURES OF Toy Cubes Pop: Blast Cubes]<br><br>- Cute character to keep you company on your adventure<br><br>- Leaderboards to compete with players all over the world<br><br>- Addictive gaming experience that can share with friends<br><br>- Over 1000 levels, easy and fun to play but challenging to fully master <br><br>- A puzzle game that will relax your brain<br><br>- Play anytime without internet &amp; WIFI <br><br>- Simple operation &amp; excitement challenges<br><br>- Brand new play game with amazing screen, quality graphic and vision effects<br><br><br>Already a fan of Toy Cubes Pop: Blast Cubes? Like us on Facebook for the latest news:<br><br><br>https://www.facebook.com/Toy-Cubes-Blast-2324871247584329/<br><br><br><br>A big THANK YOU goes out to everyone who has played Toy Cubes Pop: Blast Cubes!<br><br><br>Start matching and spreading Toy Cubes Pop 2022 today!","Toy Cubes Pop - Match 3 Game","Yo App",N/A,"https://play-lh.googleusercontent.com/gx5REI62h57_YqRPQNg1EYImXnUX5QXEJ3ChEIkJKUwkMZeqR2Yo2P-BMZE4qYY8-g",4.7336836,"4.7",N/A,true
"https://play.google.com/store/apps/details?id=com.logic.toystoon","com.logic.toystoon","Welcome to Toys Toon - Blast &amp; Crush Puzzle!<br><br>Connect and group 3 or more same toys to collect them. Use powerful props to help you pass levels easier!<br><br>Toys Toon - Blast &amp; Crush Puzzle! Feature:<br>- Unique match 3 make combinations with toys and panda<br>- Powerful boosters are prepared for you<br>- Perfect match and amazing combinations<br>- Eliminate more toy to make a magical super bomb<br>- Exciting experience and fluent animations<br>- Play with friends and enjoy yourself<br><br>Splash the toys in Toys Toon - Blast &amp; Crush Puzzle! Download in Google play store and start your wonderful journey now!","Toys Toon - Blast & Crush Puzz","Logic Games Puzzle",N/A,"https://play-lh.googleusercontent.com/7hg4_rZM2br2OyK0m57X5N7E-Q1_iW51gaaK68Uyj3kpv4WAaavf9_0NCkUhlP2MBg",4.125,"4.1",N/A,true
"https://play.google.com/store/apps/details?id=com.xiaoboigames.petcubetoyblast","com.xiaoboigames.petcubetoyblast","Toon Pet Crush : Bomb Blast &amp; Toy Cubes Puzzle<br>Play the most popular blast game, Full of challenges and fun!<br><br>Come to an exciting adventure in the world of Cube Bomb!<br>Match cubes, create powerful combos to blast the toy cubes!<br>Solve puzzles and win levels to get tons of rewards and prizes in games!<br><br>Tap to crush 2 or more adjacent cubes of the same color, 5 or more create a boost.<br>When more than 5 cubes are taped to crush, a powerful bomb will be created.<br>Bringing you a fresh experience. It is one of the refreshing bear games you have ever played.<br><br>Let&#39;s relax and enjoy yourself in the big blast adventure of toy cubes, blast the cubes. The big challenge of bear games is to solve the puzzle in the minimum time.<br><br>Game Features:<br>Fun and fresh gaming experience to enjoy.<br>Over 2000 levels, easy and fun to play but challenging to master.<br>A puzzle game that will relax your brain.<br>Play anywhere without internet &amp; WIFI.<br>Simple operation &amp; excitement challenges in the bear games.<br><br>How to Play:<br>Swap and match more than 2 identical toy cube to crush.<br>Make special toy combos to help you crush special objects.<br>Collect the boosters to help in tricky levels.<br>Gather target items to win before you run out of moves<br>Solve all kinds of puzzles in the journey.<br><br>Install now and enjoy!","Toon Pet Crush:Toy Cube Puzzle","Arctic Wolf Studios",N/A,"https://play-lh.googleusercontent.com/zYoJNvaA3ByQC4Ob11cSg5qAbwMYh90nOaAbUtBnsjhNeWouCWBrWhGb82DdeMFj8aA",4.530303,"4.5",N/A,true
"https://play.google.com/store/apps/details?id=com.TwoproGames.ToyMatch","com.TwoproGames.ToyMatch","Toy Match 3: Toy &amp; Toon Blast Party is one of the best match 3 games 2020 has to offer that was specially designed to be beat without buying boosts. All levels have been tested and beat without any power ups. Take the challenge and beat the game all for free!<br><br>Join in on the fun with Toy Match 3: Toy &amp; Toon Blast Party playing these crazy 500 levels that will have you addicted the higher up you go. The fun yet sometimes frustrating bomb levels will have you NEEDING to win. This will be one of the best toy match 3 puzzle games you play. <br><br>Match as many toys as possible to get bigger more effective power up blasts including the rainbow rubrics cube, which allows you to blast all the toys of the same color you match it with. The further up the maps you go, the more difficult the levels will get, but don&#39;t worry they are all beatable with a little luck and lots of skill!<br><br>How to Play:<br>Touch and swap the toys to match 3 or more of the same color, the more you blast, the more points you earn. Each level has a target and a limit to the number of moves or time to clear each level. Figure out how to beat each level and earn 3 stars.<br><br>Quick Tips:<br>- Match 3 or more to blast the toon toys<br>- Match 4 and you will create power ups<br>- Matching 5 in an L shape creates a toy blast bomb power up<br>- Match 5 in a straight line to get a powerful rainbow rubrics cube<br>- If you don&#39;t see any moves, the game will highlight one for you after a bit of time<br>- Watching videos can give you more opportunities to beat a level<br>- Earn gems every time you pass a level<br>- Watch out for the Germ Monster, kill it quick or he will grow and spread<br>- Break the frozen ice blocks as quick as you can but prioritize the Germ Monster<br>- Blast the toys under the items you need to collect such as the trumpet and the xylophone<br>- Careful with the bombs, destroy them before they reach 0 or the level is failed<br><br>Reasons to Play:<br>-	500+ levels of fun<br>-	Earn gems while playing<br>-	Best Free Toy match 3 games to play offline<br>-	Fun and free, what more could you want<br>-	Can watch videos to earn gems quicker<br>-	Fast paced classic toy &amp; toon match 3 game<br><br>What are you waiting for? Download Toy Match now and enjoy!","Toy Match 3: Toy & Toon Blast ","Twopro Games",N/A,"https://play-lh.googleusercontent.com/pv7eh76qsf6aCpqmXBND1ZodAdl5FGubuXJUXKP0lkTEUl83fLu5dfESQHcSOMTuROXa",4.71,"4.7",N/A,true
