category,data,optional,purpose,type,securityPractices,privacyPolicyUrl
"shared data","Approximate location",false,"Analytics, Advertising or marketing","Location","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"shared data","Device or other IDs",false,"App functionality, Analytics, Developer communications, Advertising or marketing, Personalization","Device or other IDs","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Approximate location",false,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance","Location","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Name",true,"Personalization","Personal info","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Email address",true,"App functionality, Developer communications, Advertising or marketing, Account management","Personal info","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","User IDs",false,"App functionality, Analytics, Advertising or marketing, Personalization, Account management","Personal info","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Purchase history",false,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization","Financial info","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Photos",true,"App functionality, Analytics, Personalization","Photos and videos","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Videos",true,"App functionality, Analytics, Personalization","Photos and videos","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Files and docs",true,"App functionality, Analytics, Personalization","Files and docs","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Contacts",true,"App functionality, Personalization","Contacts","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","App interactions",false,"Analytics, Personalization","App activity","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Crash logs",false,"Analytics","App info and performance","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Diagnostics",false,"Analytics, Fraud prevention, security, and compliance","App info and performance","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Other app performance data",false,"Analytics, Fraud prevention, security, and compliance","App info and performance","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
"collected data","Device or other IDs",false,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization","Device or other IDs","Data is encrypted in transit (Your data is transferred over a secure connection); You can request that data be deleted (The developer provides a way for you to request that your data be deleted)","https://scopely.com/privacy/"
